FileName,Content
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_0.txt,La valoracion es de: 10 y su comentario es: Le pongo un 10 porque lo merece
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_1.txt,La valoracion es de: 8 y su comentario es: En españa tambien podemos hacer series
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_10.txt,La valoracion es de: 10 y su comentario es: Me he registrado solo para darle un 10
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_11.txt,"La valoracion es de: 8 y su comentario es: No tiremos cohetes, que es una buena serie, pero..."
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_12.txt,La valoracion es de: 8 y su comentario es: La casa de la moneda.
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_13.txt,"La valoracion es de: 10 y su comentario es: Aunque no perfecta, Obra Maestra."
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_14.txt,"La valoracion es de: 9 y su comentario es: Muy buena serie española, y ENGANCHA!"
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_15.txt,La valoracion es de: 8 y su comentario es: &quot;Somos muy grandes&quot;
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_16.txt,La valoracion es de: 10 y su comentario es: Agradable sorpresa
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_17.txt,La valoracion es de: 10 y su comentario es: Brillante
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_18.txt,La valoracion es de: 8 y su comentario es: Un Buen Compilado Español
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_19.txt,La valoracion es de: 9 y su comentario es: Seis brevísimas líneas que merecen un desvelo ante &quot;La casa de papel.
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_2.txt,"La valoracion es de: 8 y su comentario es: Diferente, entretenida y engancha (qué más pides???)"
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_20.txt,La valoracion es de: 10 y su comentario es: Esta serie es la ama!!!
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_21.txt,La valoracion es de: 8 y su comentario es: La mejor serie española hasta la fecha
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_22.txt,La valoracion es de: 8 y su comentario es: Espectacular si señor
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_23.txt,La valoracion es de: 10 y su comentario es: Espectacular
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_24.txt,La valoracion es de: 8 y su comentario es: UN PLAN PERFECTO
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_25.txt,La valoracion es de: 8 y su comentario es: La casa de papel
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_26.txt,La valoracion es de: 10 y su comentario es: El plan imprevisto
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_3.txt,"La valoracion es de: 9 y su comentario es: Tensión, guion ligero, buenos actores."
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_4.txt,La valoracion es de: 10 y su comentario es: Un plan maestro
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_5.txt,"La valoracion es de: 9 y su comentario es: Un &quot;the italian job&quot;, pero sin minis, a la española, que te mantiene en vilo cada capítulo"
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_6.txt,La valoracion es de: 9 y su comentario es: La casa de papel
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_7.txt,"La valoracion es de: 8 y su comentario es: Si fuera americana, no tendría tantas malas críticas"
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_8.txt,La valoracion es de: 8 y su comentario es: Un crimen casi perfecto
C:\Users\pepe\Desktop\data-integration\AA UNLABELED\unlabeled\valoracionBuena_9.txt,La valoracion es de: 10 y su comentario es: sinceramente
